[2014/11/9 - 14:28:28] Tony_Zill ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/8/14 - 18:17:57] Benjamin_Alastre ha cambiado su nombre a {5ABAFF}Kronos{FFFFFF}.
[2016/10/7 - 3:18:47] Juan_Soriano ha cambiado su nombre a {5ABAFF}Juan_Sorian{FFFFFF}.
[2016/10/7 - 22:25:56] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/7 - 23:6:12] Cornelio_Contreras ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/7 - 23:18:38] Cornelio_Contreras ha cambiado su nombre a {5ABAFF}Benjamin_Alastre{FFFFFF}.
[2016/10/8 - 1:6:48] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/8 - 1:10:9] Azarel_Thawne ha cambiado su nombre a {5ABAFF}PC_Azarel{FFFFFF}.
[2016/10/8 - 1:10:12] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}17 PC_Takeshi{FFFFFF}.
[2016/10/8 - 1:10:43] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}17 PC_Takeshi{FFFFFF}.
[2016/10/8 - 1:10:53] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}PC_Takeshi{FFFFFF}.
[2016/10/8 - 1:19:0] Juan_Soriano ha cambiado su nombre a {5ABAFF}PC_Soriano{FFFFFF}.
[2016/10/8 - 11:45:31] Forrest_Dyrdek ha cambiado su nombre a {5ABAFF}Dyrdek{FFFFFF}.
[2016/10/8 - 11:46:22] Forrest_Dyrdek ha cambiado su nombre a {5ABAFF}Forrest_AFK{FFFFFF}.
[2016/10/9 - 4:40:34] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Takeshi{FFFFFF}.
[2016/10/9 - 4:41:29] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Mike Wazouky{FFFFFF}.
[2016/10/9 - 4:42:20] Fady_Saba ha cambiado su nombre a {5ABAFF}Fadyx{FFFFFF}.
[2016/10/9 - 5:46:32] Fady_Saba ha cambiado su nombre a {5ABAFF}Fadyx{FFFFFF}.
[2016/10/9 - 8:12:57] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}_Consola_{FFFFFF}.
[2016/10/9 - 8:22:36] Fady_Saba ha cambiado su nombre a {5ABAFF}_Consola_v2.0{FFFFFF}.
[2016/10/9 - 16:47:14] Juan_Soriano ha cambiado su nombre a {5ABAFF}AFK_Soriano{FFFFFF}.
[2016/10/9 - 20:46:43] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/9 - 20:50:3] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Consola we{FFFFFF}.
[2016/10/9 - 20:52:37] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Smook Weed{FFFFFF}.
[2016/10/9 - 22:11:9] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/9 - 22:11:30] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}___Consola___{FFFFFF}.
[2016/10/10 - 0:42:35] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/10 - 3:13:53] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Takeshi{FFFFFF}.
[2016/10/10 - 3:22:13] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Garrix{FFFFFF}.
[2016/10/10 - 3:22:31] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}MaickWazouky{FFFFFF}.
[2016/10/10 - 3:22:38] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Wang{FFFFFF}.
[2016/10/10 - 3:23:5] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}[Nombre_Apellido]{FFFFFF}.
[2016/10/10 - 3:23:19] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Fernandezs{FFFFFF}.
[2016/10/10 - 3:35:58] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Pol_Brun{FFFFFF}.
[2016/10/10 - 3:40:32] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Isairias{FFFFFF}.
[2016/10/10 - 3:41:9] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Dodox{FFFFFF}.
[2016/10/10 - 3:41:55] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Kenji_Wang{FFFFFF}.
[2016/10/10 - 3:42:14] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Takeshi{FFFFFF}.
[2016/10/10 - 3:42:15] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Jorge_Isirias{FFFFFF}.
[2016/10/10 - 3:42:31] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Jorge_Isairias{FFFFFF}.
[2016/10/10 - 3:43:21] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Steven Lavando Perros{FFFFFF}.
[2016/10/10 - 3:44:37] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Jaja_SteMen{FFFFFF}.
[2016/10/10 - 3:44:56] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Steven_Lavado{FFFFFF}.
[2016/10/10 - 3:45:22] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Nozaki{FFFFFF}.
[2016/10/10 - 3:45:32] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Takeshi_Nozaki{FFFFFF}.
[2016/10/10 - 3:45:39] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Nozaki_Nada{FFFFFF}.
[2016/10/10 - 3:49:14] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Ismael_Nozaki{FFFFFF}.
[2016/10/10 - 3:49:32] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Nozaki{FFFFFF}.
[2016/10/10 - 3:54:28] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}__[Nombre_Apellido]__{FFFFFF}.
[2016/10/10 - 4:3:7] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Pol_Brun/afk{FFFFFF}.
[2016/10/10 - 4:5:13] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}aquiles{FFFFFF}.
[2016/10/10 - 4:5:36] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Aquiles{FFFFFF}.
[2016/10/10 - 4:10:11] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Joaco_DeAvila2{FFFFFF}.
[2016/10/10 - 4:17:24] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Pol_Brun{FFFFFF}.
[2016/10/10 - 5:5:35] Fady_Saba ha cambiado su nombre a {5ABAFF}[Nombre_Apellido]{FFFFFF}.
[2016/10/10 - 19:14:18] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/10 - 20:0:48] Harvey_Specter ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/10 - 20:36:57] Fady_Saba ha cambiado su nombre a {5ABAFF}AFK_Foro{FFFFFF}.
[2016/10/11 - 2:53:48] Harvey_Specter ha cambiado su nombre a {5ABAFF}Benjamin_Alastre{FFFFFF}.
[2016/10/11 - 2:56:13] Harvey_Specter ha cambiado su nombre a {5ABAFF}Benjamin_Alastreeeeee{FFFFFF}.
[2016/10/11 - 2:56:20] Harvey_Specter ha cambiado su nombre a {5ABAFF}Benjamin_Alastre{FFFFFF}.
[2016/10/11 - 2:58:21] Harvey_Specter ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/11 - 3:5:14] Harvey_Specter ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/11 - 3:20:3] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Abdul_Bhedga{FFFFFF}.
[2016/10/11 - 3:21:56] Nicolas_Guevara ha cambiado su nombre a {5ABAFF}Matías_Echevarria{FFFFFF}.
[2016/10/11 - 3:22:35] Harvey_Specter ha cambiado su nombre a {5ABAFF}Mia_Stone{FFFFFF}.
[2016/10/11 - 4:8:31] Harvey_Specter ha cambiado su nombre a {5ABAFF}Mia_Stone{FFFFFF}.
[2016/10/11 - 4:16:29] Harvey_Specter ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
