[2014/10/11 - 12:36:23] Te han sancionado, por 1 minuto(s). Razón: Prueba
[2014/10/19 - 12:23:38] Te han sancionado, por 1 minuto(s). Razón: PRUEBA
[2014/10/30 - 15:51:38] Te han sancionado, por 1 minuto(s). Razón: 1
[2014/10/30 - 15:52:16] Te han sancionado, por 1 minuto(s). Razón: 0
[2014/10/30 - 15:52:21] Te han sancionado, por 0 minuto(s). Razón: 0
[2014/11/2 - 10:12:24] [AdmCmd]: Tony Zill encarceló a Tony Zill, razón: 1, tiempo: 1 minuto(s)
[2014/11/9 - 13:17:28] [AdmCmd]: Tony Zill encarceló a Tony Zill, razón: a, tiempo: 1 minuto(s)
[2016/7/26 - 20:18:2] [AdmCmd]: Benjamin Alastre fué sancionado por Benjamin Alastre, razón: PG, tiempo: 2 minuto(s)
[2016/8/1 - 15:41:15] [AdmCmd]: Benjamin Alastre fué sancionado por Benjamin Alastre, razón: Nula interpretación del personaje., tiempo: 15 m
[2016/10/5 - 14:27:39] [AdmCmd]: Azarel Thawne fué sancionado por Azarel Thawne, razón: Hermoso., tiempo: 100 minuto(s)
[2016/10/7 - 3:5:38] [AdmCmd]: Ramiro Rojas fué sancionado por Juan Soriano, razón: No Rol de Contratar, tiempo: 5 minuto(s)
[2016/10/7 - 3:7:50] [AdmCmd]: Ramiro Rojas fué sancionado por Nicolas Guevara, razón: ., tiempo: 0 minuto(s)
[2016/10/7 - 3:12:52] [AdmCmd]: Agustina Belen fué sancionado por Juan Soriano, razón: NRC, tiempo: 5 minuto(s)
[2016/10/7 - 3:14:37] [AdmCmd]: Manuel Melo fué sancionado por Juan Soriano, razón: PG, tiempo: 5 minuto(s)
[2016/10/7 - 3:17:8] [AdmCmd]: Maicol Romero fué sancionado por Juan Soriano, razón: PG+NRC+No Rol de Saltar , tiempo: 10 minuto(s)
[2016/10/7 - 7:17:10] [AdmCmd]: Facundo Fernandez fué sancionado por Nicolas Guevara, razón: dm, tiempo: 1 minuto(s)
[2016/10/7 - 7:17:19] [AdmCmd]: Facundo Fernandez fué sancionado por Nicolas Guevara, razón: ., tiempo: 0 minuto(s)
[2016/10/7 - 7:22:53] [AdmCmd]: Brayan Inoa fué sancionado por Nicolas Guevara, razón: BUG, tiempo: 0 minuto(s)
[2016/10/7 - 17:28:58] [AdmCmd]: Perico Capone fué sancionado por Forrest Dyrdek, razón: DM, tiempo: 30 minuto(s)
[2016/10/7 - 18:21:44] [AdmCmd]: Jefferson Rosero fué sancionado por Forrest Dyrdek, razón: DM, tiempo: 50 minuto(s)
[2016/10/7 - 18:53:27] [AdmCmd]: Maicol Nico fué sancionado por Juan Soriano, razón: MG`+FLOOD, tiempo: 10 minuto(s)
[2016/10/7 - 18:53:47] [AdmCmd]: Maicol Nico fué sancionado por Juan Soriano, razón: MG`+FLOOD, tiempo: 10 minuto(s)
[2016/10/7 - 18:54:32] [AdmCmd]: Maicol Nico fué sancionado por Juan Soriano, razón: MG+PG+AIOOC, tiempo: 50 minuto(s)
[2016/10/7 - 19:23:18] [AdmCmd]: Javier Marin fué sancionado por Azarel Thawne, razón: PG + NRH, tiempo: 7 minuto(s)
[2016/10/7 - 19:43:59] [AdmCmd]: Angel Luis fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 10 minuto(s)
[2016/10/7 - 19:50:0] [AdmCmd]: Franco Cabrera fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 10 minuto(s)
[2016/10/7 - 20:27:32] [AdmCmd]: Nestor Perez fué sancionado por Joaco DeAvila, razón: NRCA+NRE, tiempo: 16 minuto(s)
[2016/10/7 - 20:37:43] [AdmCmd]: Angel Luis fué sancionado por Azarel Thawne, razón: PG, tiempo: 10 minuto(s)
[2016/10/7 - 21:30:59] [AdmCmd]: Jonas Jure fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 10 minuto(s)
[2016/10/7 - 21:41:58] [AdmCmd]: Javier Cortez fué sancionado por Juan Soriano, razón: DM, tiempo: 5 minuto(s)
[2016/10/7 - 21:43:28] [AdmCmd]: Pablo Villalobos fué sancionado por Bayron Wazouky, razón: Os Eh Dicho., tiempo: 5 minuto(s)
[2016/10/7 - 21:43:48] [AdmCmd]: Jonas Jure fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 10 minuto(s)
[2016/10/7 - 21:49:7] [AdmCmd]: Xavier Navarro fué sancionado por Bayron Wazouky, razón: DM , tiempo: 10 minuto(s)
[2016/10/7 - 22:12:15] [AdmCmd]: Frandy Castillo fué sancionado por Bayron Wazouky, razón: DM, tiempo: 10 minuto(s)
[2016/10/7 - 22:24:17] [AdmCmd]: Angel Luis fué sancionado por Bayron Wazouky, razón: PG + DM + MG , tiempo: 15 minuto(s)
[2016/10/7 - 22:51:30] [AdmCmd]: Alan Cantero fué sancionado por Bayron Wazouky, razón: MG, tiempo: 5 minuto(s)
[2016/10/7 - 22:54:41] [AdmCmd]: Angel Luis fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 5 minuto(s)
[2016/10/7 - 23:41:55] [AdmCmd]: Facundo Vazques fué sancionado por Azarel Thawne, razón: DM ((Dentro de SAPD)), tiempo: 5 minuto(s)
[2016/10/7 - 23:43:51] [AdmCmd]: Mariano Osorio fué sancionado por Azarel Thawne, razón: DM, tiempo: 5 minuto(s)
[2016/10/7 - 23:44:1] [AdmCmd]: Jorge Lonzalle fué sancionado por Azarel Thawne, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 0:18:12] [AdmCmd]: Dylan Medina fué sancionado por Cornelio Contreras, razón: NMUTE, tiempo: 5 minuto(s)
[2016/10/8 - 0:21:15] [AdmCmd]: Jorge Lonzalle fué sancionado por Cornelio Contreras, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 0:21:29] [AdmCmd]: Milton Mercedes fué sancionado por Takeshi Yuki, razón: PG + BD, tiempo: 10 minuto(s)
[2016/10/8 - 0:22:23] [AdmCmd]: Tomas Carnevalli fué sancionado por Cornelio Contreras, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 0:23:1] [AdmCmd]: Figueroa Inoa fué sancionado por Cornelio Contreras, razón: MUD, tiempo: 5 minuto(s)
[2016/10/8 - 0:24:37] [AdmCmd]: Isaiah Horford fué sancionado por Joaco DeAvila, razón: NRC+BD, tiempo: 15 minuto(s)
[2016/10/8 - 0:26:57] [AdmCmd]: Ivan Morelli fué sancionado por Cornelio Contreras, razón: MUD, tiempo: 5 minuto(s)
[2016/10/8 - 0:27:18] [AdmCmd]: Jerome Casanova fué sancionado por Joaco DeAvila, razón: BH, tiempo: 10 minuto(s)
[2016/10/8 - 0:29:11] [AdmCmd]: Xavi Antonello fué sancionado por Joaco DeAvila, razón: MG, tiempo: 12 minuto(s)
[2016/10/8 - 0:29:28] [AdmCmd]: Jerome Casanova fué sancionado por Joaco DeAvila, razón: MG, tiempo: 15 minuto(s)
[2016/10/8 - 0:34:57] [AdmCmd]: Pablo Villalobos fué sancionado por Joaco DeAvila, razón: BD, tiempo: 20 minuto(s)
[2016/10/8 - 0:36:13] [AdmCmd]: Eduardo Salazar fué sancionado por Cornelio Contreras, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 0:36:16] [AdmCmd]: Eduardo Salazar fué sancionado por Joaco DeAvila, razón: Troll, tiempo: 30 minuto(s)
[2016/10/8 - 0:38:24] [AdmCmd]: Miliannys Sierra fué sancionado por Cornelio Contreras, razón: ., tiempo: 10 minuto(s)
[2016/10/8 - 0:46:28] [AdmCmd]: Xavi Antonello fué sancionado por Cornelio Contreras, razón: PG, tiempo: 5 minuto(s)
[2016/10/8 - 0:50:29] [AdmCmd]: Juanjo Jimenez fué sancionado por Cornelio Contreras, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 0:54:32] [AdmCmd]: Federico Sampietro fué sancionado por Joaco DeAvila, razón: PG, tiempo: 20 minuto(s)
[2016/10/8 - 0:54:49] [AdmCmd]: Cristian Sampietro fué sancionado por Joaco DeAvila, razón: MG, tiempo: 30 minuto(s)
[2016/10/8 - 1:3:37] [AdmCmd]: Juanjo Jimenez fué sancionado por Takeshi Yuki, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 1:16:46] [AdmCmd]: Tom Builder fué sancionado por PC Azarel, razón: NRH, tiempo: 5 minuto(s)
[2016/10/8 - 1:34:56] [AdmCmd]: Axel Yankee fué sancionado por PC Azarel, razón: Abandono de facción antes de tres días, tiempo: 10 minuto(s)
[2016/10/8 - 1:43:3] [AdmCmd]: Gabriel Sanchez fué sancionado por PC Azarel, razón: DM, tiempo: 5 minuto(s)
[2016/10/8 - 1:48:42] [AdmCmd]: Brai Tedeschini fué sancionado por Juan Soriano, razón: TROLL+NRC, tiempo: 10 minuto(s)
[2016/10/8 - 2:45:35] [AdmCmd]: Dylan Medina fué sancionado por Azarel Thawne, razón: NRC, tiempo: 5 minuto(s)
[2016/10/8 - 2:45:38] [AdmCmd]: Nicolas Vercetti fué sancionado por Azarel Thawne, razón: NRC, tiempo: 5 minuto(s)
[2016/10/8 - 2:48:9] [AdmCmd]: Steve Suarez fué sancionado por Azarel Thawne, razón: NRA + NRE, tiempo: 10 minuto(s)
[2016/10/8 - 4:36:35] [AdmCmd]: Juanjo Jimenez fué sancionado por Fady Saba, razón: PG., tiempo: 10 minuto(s)
[2016/10/8 - 4:36:37] [AdmCmd]: Juanjo Jimenez fué sancionado por Azarel Thawne, razón: PG ((Trompadas a un auto)), tiempo: 5 minuto(s)
